Condition/Year,Make-Model,Price,Vin
New 2025,RAM 1500 Big Horn,"$64,025",VIN: 1C6SRFFP4SN712837
New 2024,Jeep Wrangler Sahara,"$62,840",VIN: 1C4PJXEG5RW328602
New 2024,Jeep Wrangler Sahara,"$62,840",VIN: 1C4PJXEG2RW313717
New 2024,Jeep Wrangler Sahara,"$62,840",VIN: 1C4PJXEG1RW299308
New 2024,Jeep Wrangler Sahara,"$59,240",VIN: 1C4PJXEG0RW313828
New 2025,Jeep Wrangler Willys,"$56,630",VIN: 1C4PJXDG9SW544329
New 2025,Chrysler Pacifica Hybrid Pinnacle,"$61,480",VIN: 2C4RC1N76SR540021
New 2025,Chrysler Pacifica Hybrid Pinnacle,"$61,480",VIN: 2C4RC1N74SR528093
New 2025,Chrysler Pacifica Hybrid Pinnacle,"$61,480",VIN: 2C4RC1N72SR528092
New 2025,Jeep Grand Cherokee L Limited,"$60,330",VIN: 1C4RJKBG7S8629074
New 2025,Jeep Grand Cherokee L Limited,"$60,330",VIN: 1C4RJKBG5S8629073
New 2025,Jeep Grand Cherokee L Limited,"$60,330",VIN: 1C4RJKBG4S8629078
New 2025,Jeep Grand Cherokee L Limited,"$60,330",VIN: 1C4RJKBG2S8629077
New 2025,RAM 1500 Big Horn,"$64,275",VIN: 1C6SRFFPXSN688656
New 2025,Chrysler Pacifica Hybrid Pinnacle,"$61,480",VIN: 2C4RC1N76SR528094
New 2025,Jeep Wrangler Rubicon,"$56,615",VIN: 1C4PJXFN9SW531639
New 2025,Jeep Wrangler Rubicon,"$56,615",VIN: 1C4PJXFN7SW531638
New 2024,RAM ProMaster 3500 Super High Roof,"$60,355",VIN: 3C6MRVSGXRE130748
New 2024,RAM ProMaster 3500 Super High Roof,"$60,355",VIN: 3C6MRVSG1RE122716
New 2024,RAM ProMaster 3500 Super High Roof,"$60,355",VIN: 3C6MRVSG0RE117345
New 2025,RAM 1500 Big Horn,"$64,520",VIN: 1C6SRFFP6SN688654
New 2025,RAM 1500 Big Horn,"$64,520",VIN: 1C6SRFFP4SN688653
New 2025,RAM ProMaster 2500 High Roof,"$57,925",VIN: 3C6LRVDG7SE543774
